"","x"
"1",0.935483870967742
"2",0
"3",0.67741935483871
"4",0.032258064516129
"5",0
"6",0
"7",0
"8",0
"9",0.161290322580645
"10",1
"11",0.903225806451613
"12",1
"13",0
"14",0
"15",0.0967741935483871
"16",0
"17",0.516129032258065
"18",0.193548387096774
"19",0
"20",0
"21",0
"22",0.806451612903226
"23",0.838709677419355
"24",0.612903225806452
"25",0
"26",0
"27",0
"28",0
"29",0.709677419354839
"30",0.967741935483871
"31",0
"32",0.967741935483871
"33",0
"34",0
"35",0.967741935483871
"36",0.032258064516129
"37",0.290322580645161
"38",0.354838709677419
"39",0
"40",0.32258064516129
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0.0645161290322581
"53",0.67741935483871
"54",0
"55",0
"56",0.903225806451613
"57",0
"58",0
"59",0
"60",0
"61",0.645161290322581
"62",0.645161290322581
"63",0
"64",0
"65",0
"66",0.483870967741935
"67",0
"68",0
"69",0
"70",0
"71",0.935483870967742
"72",0
"73",0.806451612903226
"74",0
"75",0
"76",0.0645161290322581
"77",0
"78",0.67741935483871
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.806451612903226
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.935483870967742
"93",0
"94",0
"95",0
"96",1
"97",0.0645161290322581
"98",0
"99",0
"100",0
