"","x"
"1",0.838709677419355
"2",0
"3",1
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.806451612903226
"10",0.870967741935484
"11",0.967741935483871
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0.903225806451613
"18",0
"19",0
"20",0.67741935483871
"21",0.451612903225806
"22",0.548387096774194
"23",1
"24",1
"25",0
"26",0
"27",0
"28",0.032258064516129
"29",0.967741935483871
"30",0.903225806451613
"31",0.129032258064516
"32",0.741935483870968
"33",0
"34",0
"35",1
"36",0
"37",0.967741935483871
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.419354838709677
"54",0
"55",0
"56",0.645161290322581
"57",0
"58",0
"59",0.354838709677419
"60",0
"61",0
"62",0.483870967741935
"63",0
"64",0
"65",0
"66",0.709677419354839
"67",0
"68",0
"69",0
"70",0
"71",1
"72",0
"73",1
"74",0
"75",0.0967741935483871
"76",0.483870967741935
"77",0
"78",0.935483870967742
"79",0.129032258064516
"80",0
"81",0
"82",0
"83",0.225806451612903
"84",0
"85",0.032258064516129
"86",0.774193548387097
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.774193548387097
"93",0
"94",0
"95",0
"96",0.967741935483871
"97",0.903225806451613
"98",0.0645161290322581
"99",0
"100",0
