"","x"
"1",0.967741935483871
"2",0
"3",0.354838709677419
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1
"10",0.0967741935483871
"11",0.516129032258065
"12",0.225806451612903
"13",0
"14",0
"15",0
"16",0
"17",0.709677419354839
"18",0
"19",0
"20",0
"21",0.032258064516129
"22",0.935483870967742
"23",0.387096774193548
"24",0.612903225806452
"25",0
"26",0
"27",0
"28",0
"29",0.0967741935483871
"30",0.870967741935484
"31",0
"32",0.838709677419355
"33",0
"34",0
"35",0.935483870967742
"36",0
"37",0.483870967741935
"38",0.032258064516129
"39",0
"40",0.32258064516129
"41",0.0645161290322581
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.967741935483871
"54",0
"55",0
"56",0.967741935483871
"57",0
"58",0
"59",0.032258064516129
"60",0
"61",0.806451612903226
"62",0.774193548387097
"63",0
"64",0
"65",0
"66",0.741935483870968
"67",0
"68",0.0645161290322581
"69",0
"70",0
"71",0.419354838709677
"72",0
"73",0.935483870967742
"74",0
"75",0.967741935483871
"76",0.903225806451613
"77",0.354838709677419
"78",0.741935483870968
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.709677419354839
"93",0
"94",0
"95",0
"96",1
"97",0.838709677419355
"98",0
"99",0
"100",0
