"","x"
"1",1
"2",0
"3",0.935483870967742
"4",0.032258064516129
"5",0
"6",0
"7",0
"8",0
"9",0.870967741935484
"10",1
"11",0.741935483870968
"12",0.967741935483871
"13",0
"14",0
"15",0
"16",0
"17",0.806451612903226
"18",0.032258064516129
"19",0
"20",0
"21",0
"22",0.967741935483871
"23",0.354838709677419
"24",0.580645161290323
"25",0
"26",0
"27",0
"28",0
"29",0.741935483870968
"30",1
"31",0
"32",0.838709677419355
"33",0.129032258064516
"34",0
"35",0.161290322580645
"36",0.387096774193548
"37",0.612903225806452
"38",0
"39",0
"40",0.967741935483871
"41",0
"42",0.0645161290322581
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0.32258064516129
"53",0.290322580645161
"54",0
"55",0
"56",0.645161290322581
"57",0
"58",0
"59",0
"60",0
"61",0.67741935483871
"62",0.870967741935484
"63",0
"64",0
"65",0
"66",0.935483870967742
"67",0
"68",0
"69",0
"70",0.032258064516129
"71",0.709677419354839
"72",0
"73",0.806451612903226
"74",0
"75",0.419354838709677
"76",0.0645161290322581
"77",0
"78",1
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0.032258064516129
"86",0.483870967741935
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.870967741935484
"93",0
"94",0
"95",0
"96",0.258064516129032
"97",0.967741935483871
"98",0
"99",0
"100",0
