"","x"
"1",0.709677419354839
"2",0
"3",0.612903225806452
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.451612903225806
"10",0.580645161290323
"11",0.806451612903226
"12",0.806451612903226
"13",0
"14",0
"15",0
"16",0
"17",0.967741935483871
"18",0.580645161290323
"19",0
"20",0
"21",0
"22",1
"23",0
"24",0.032258064516129
"25",0
"26",0
"27",0.0967741935483871
"28",0
"29",0.838709677419355
"30",0.451612903225806
"31",0.32258064516129
"32",0
"33",0
"34",0
"35",0.451612903225806
"36",0.419354838709677
"37",0.709677419354839
"38",0
"39",0.032258064516129
"40",0.451612903225806
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0.032258064516129
"50",0
"51",0
"52",0
"53",0.67741935483871
"54",0
"55",0
"56",0.161290322580645
"57",0
"58",0
"59",0
"60",0
"61",0.161290322580645
"62",0.32258064516129
"63",0
"64",0.032258064516129
"65",0
"66",0.451612903225806
"67",0
"68",0
"69",0
"70",0
"71",0.354838709677419
"72",0
"73",0.709677419354839
"74",0
"75",0.225806451612903
"76",0.0645161290322581
"77",0.129032258064516
"78",0.967741935483871
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.225806451612903
"87",0
"88",0
"89",0
"90",0
"91",0.032258064516129
"92",0
"93",0
"94",0.032258064516129
"95",0
"96",1
"97",0
"98",0
"99",0
"100",0
