"","x"
"1",0.709677419354839
"2",0
"3",0.354838709677419
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.483870967741935
"10",0.580645161290323
"11",0.548387096774194
"12",0.193548387096774
"13",0.225806451612903
"14",0.32258064516129
"15",0.967741935483871
"16",0
"17",0.032258064516129
"18",0
"19",0
"20",0.032258064516129
"21",0
"22",0.419354838709677
"23",0.548387096774194
"24",0.258064516129032
"25",0.0645161290322581
"26",0
"27",0
"28",0
"29",0.741935483870968
"30",0.548387096774194
"31",0
"32",1
"33",0
"34",0
"35",0.806451612903226
"36",0
"37",0.451612903225806
"38",0
"39",0.354838709677419
"40",0.483870967741935
"41",0
"42",0
"43",0
"44",0
"45",0.0645161290322581
"46",0
"47",0.0645161290322581
"48",0.032258064516129
"49",0.032258064516129
"50",0
"51",0
"52",0
"53",0.161290322580645
"54",0
"55",0
"56",1
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0.161290322580645
"63",0
"64",0
"65",0
"66",0.741935483870968
"67",0.032258064516129
"68",0.032258064516129
"69",0
"70",0
"71",0.67741935483871
"72",0
"73",0.516129032258065
"74",0.516129032258065
"75",0.032258064516129
"76",0.0967741935483871
"77",0.0967741935483871
"78",0.32258064516129
"79",0.032258064516129
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.032258064516129
"87",0.225806451612903
"88",0.129032258064516
"89",0
"90",0
"91",0
"92",0.451612903225806
"93",0
"94",0
"95",0
"96",0.967741935483871
"97",0.032258064516129
"98",0
"99",0
"100",0
