"","x"
"1",0.935483870967742
"2",0
"3",0.516129032258065
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.903225806451613
"10",0.870967741935484
"11",0.838709677419355
"12",0.774193548387097
"13",0
"14",0
"15",0
"16",0.0967741935483871
"17",0.774193548387097
"18",0
"19",0
"20",0
"21",0
"22",1
"23",0.870967741935484
"24",0.774193548387097
"25",0.129032258064516
"26",0
"27",0
"28",0
"29",1
"30",0.451612903225806
"31",0.838709677419355
"32",0.741935483870968
"33",0.0645161290322581
"34",0.0967741935483871
"35",0.838709677419355
"36",0.032258064516129
"37",1
"38",0
"39",0
"40",0.935483870967742
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.967741935483871
"54",0
"55",0
"56",0.870967741935484
"57",0
"58",0
"59",0
"60",0
"61",0.903225806451613
"62",0.967741935483871
"63",0
"64",0.032258064516129
"65",0
"66",0.967741935483871
"67",0
"68",0.032258064516129
"69",0.129032258064516
"70",0
"71",0.258064516129032
"72",0.0967741935483871
"73",0.903225806451613
"74",0.0645161290322581
"75",0.935483870967742
"76",0.935483870967742
"77",0.0645161290322581
"78",0.870967741935484
"79",0
"80",0
"81",0
"82",0.129032258064516
"83",0
"84",0
"85",0
"86",0.967741935483871
"87",0
"88",0.0967741935483871
"89",0.032258064516129
"90",0.0967741935483871
"91",0.032258064516129
"92",0.806451612903226
"93",0
"94",0
"95",0
"96",0.967741935483871
"97",0.838709677419355
"98",0
"99",0
"100",0
