"","x"
"1",0.903225806451613
"2",0
"3",1
"4",0.032258064516129
"5",0
"6",0
"7",0
"8",0
"9",1
"10",1
"11",0.290322580645161
"12",0.516129032258065
"13",0.032258064516129
"14",0
"15",0
"16",0
"17",0.870967741935484
"18",0
"19",0
"20",0
"21",0
"22",0.870967741935484
"23",0.935483870967742
"24",0.806451612903226
"25",0
"26",0
"27",0
"28",0
"29",0.838709677419355
"30",0.838709677419355
"31",0.0645161290322581
"32",0.967741935483871
"33",0
"34",0
"35",1
"36",0
"37",1
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0.032258064516129
"48",0
"49",0.032258064516129
"50",0
"51",0
"52",0
"53",0.838709677419355
"54",0
"55",0
"56",0.935483870967742
"57",0
"58",0
"59",0
"60",0
"61",0.935483870967742
"62",1
"63",0.161290322580645
"64",0
"65",0.290322580645161
"66",0.806451612903226
"67",0
"68",0
"69",0.0967741935483871
"70",0
"71",1
"72",0
"73",1
"74",0
"75",0.387096774193548
"76",0.193548387096774
"77",0
"78",1
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.903225806451613
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.903225806451613
"93",0.0645161290322581
"94",0
"95",0
"96",1
"97",0.838709677419355
"98",0
"99",0
"100",0
