"","x"
"1",0.354838709677419
"2",0
"3",0.580645161290323
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.516129032258065
"10",0.612903225806452
"11",0.741935483870968
"12",0.161290322580645
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0.0645161290322581
"23",0.645161290322581
"24",0.129032258064516
"25",0
"26",0
"27",0
"28",0
"29",0.741935483870968
"30",0.903225806451613
"31",0
"32",0
"33",0
"34",0
"35",0.774193548387097
"36",0
"37",0.451612903225806
"38",0.129032258064516
"39",0
"40",0.0967741935483871
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.935483870967742
"54",0
"55",0
"56",0.67741935483871
"57",0
"58",0
"59",0.032258064516129
"60",0
"61",0.161290322580645
"62",0
"63",0
"64",0
"65",0
"66",0.548387096774194
"67",0
"68",0
"69",0
"70",0
"71",0.580645161290323
"72",0
"73",0.225806451612903
"74",0
"75",0.225806451612903
"76",0.741935483870968
"77",0
"78",0.741935483870968
"79",0.290322580645161
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.129032258064516
"87",0.0645161290322581
"88",0
"89",0.290322580645161
"90",0.032258064516129
"91",0
"92",0.903225806451613
"93",0
"94",0
"95",0
"96",0.967741935483871
"97",0
"98",0
"99",0
"100",0
