"","x"
"1",0.935483870967742
"2",0
"3",1
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.774193548387097
"10",1
"11",1
"12",1
"13",0
"14",0.032258064516129
"15",0
"16",0
"17",0.935483870967742
"18",0
"19",0
"20",0
"21",0.129032258064516
"22",0.67741935483871
"23",0.935483870967742
"24",0.967741935483871
"25",0
"26",0
"27",0.0645161290322581
"28",0
"29",1
"30",1
"31",0
"32",1
"33",0
"34",0
"35",0.967741935483871
"36",0
"37",1
"38",0.0645161290322581
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",1
"54",0
"55",0
"56",1
"57",0
"58",0.161290322580645
"59",0
"60",0
"61",0.548387096774194
"62",0.387096774193548
"63",0.032258064516129
"64",0.129032258064516
"65",0
"66",0.0645161290322581
"67",0.709677419354839
"68",0
"69",0
"70",0
"71",0.967741935483871
"72",0
"73",0.741935483870968
"74",0.258064516129032
"75",0.967741935483871
"76",0.935483870967742
"77",0.032258064516129
"78",1
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0.161290322580645
"85",0.129032258064516
"86",0.967741935483871
"87",0
"88",0
"89",0.193548387096774
"90",0
"91",0
"92",1
"93",0
"94",0
"95",0
"96",1
"97",1
"98",0
"99",0
"100",0
