"","x"
"1",0.903225806451613
"2",0
"3",0.0967741935483871
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.774193548387097
"10",0
"11",0.935483870967742
"12",0.032258064516129
"13",0
"14",0
"15",0
"16",0
"17",0.967741935483871
"18",0
"19",0.032258064516129
"20",0
"21",0
"22",0.741935483870968
"23",0.709677419354839
"24",0.419354838709677
"25",0
"26",0
"27",0
"28",0
"29",0
"30",1
"31",0
"32",0.129032258064516
"33",0
"34",0
"35",0.548387096774194
"36",0
"37",0.516129032258065
"38",0
"39",0
"40",0.387096774193548
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0.032258064516129
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.903225806451613
"54",0
"55",0
"56",0.709677419354839
"57",0
"58",0
"59",0.129032258064516
"60",0
"61",1
"62",0.0967741935483871
"63",0.0645161290322581
"64",0
"65",0
"66",0.516129032258065
"67",0
"68",0
"69",0
"70",0
"71",0.451612903225806
"72",0
"73",0.0967741935483871
"74",0
"75",0.580645161290323
"76",0.0967741935483871
"77",0
"78",0.903225806451613
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.806451612903226
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.67741935483871
"93",0.032258064516129
"94",0
"95",0
"96",1
"97",0.0967741935483871
"98",0
"99",0
"100",0
