"","x"
"1",0.967741935483871
"2",0
"3",1
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.870967741935484
"10",1
"11",0
"12",0.419354838709677
"13",0
"14",0
"15",0
"16",0
"17",0.935483870967742
"18",0
"19",0
"20",0.032258064516129
"21",0
"22",0.838709677419355
"23",0.483870967741935
"24",0.290322580645161
"25",0
"26",0
"27",0
"28",0
"29",0.838709677419355
"30",1
"31",0
"32",0.612903225806452
"33",0
"34",0
"35",1
"36",0
"37",0.967741935483871
"38",0
"39",0
"40",0.870967741935484
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0.0967741935483871
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",1
"54",0
"55",0
"56",0.161290322580645
"57",0
"58",0
"59",0
"60",0.225806451612903
"61",0.774193548387097
"62",0.935483870967742
"63",0
"64",0
"65",0
"66",0.935483870967742
"67",0
"68",0.0645161290322581
"69",0
"70",0
"71",0.709677419354839
"72",0
"73",1
"74",0
"75",0.225806451612903
"76",0.741935483870968
"77",0
"78",0.516129032258065
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.967741935483871
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.516129032258065
"93",0
"94",0
"95",0
"96",0.870967741935484
"97",0.903225806451613
"98",0
"99",0
"100",0
