"","x"
"1",0.967741935483871
"2",0
"3",0.870967741935484
"4",0
"5",0
"6",0
"7",0.032258064516129
"8",0
"9",0.903225806451613
"10",0.516129032258065
"11",0.806451612903226
"12",1
"13",0
"14",0
"15",0
"16",0.032258064516129
"17",0.806451612903226
"18",0
"19",0.193548387096774
"20",0
"21",0
"22",0
"23",0.774193548387097
"24",0.032258064516129
"25",0
"26",0
"27",0
"28",0
"29",0.193548387096774
"30",0.903225806451613
"31",0.129032258064516
"32",0.870967741935484
"33",0
"34",0
"35",0.354838709677419
"36",0
"37",0.612903225806452
"38",0
"39",0.0967741935483871
"40",1
"41",0
"42",0
"43",0.032258064516129
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0.032258064516129
"53",0.032258064516129
"54",0.193548387096774
"55",0
"56",0.612903225806452
"57",0.032258064516129
"58",0
"59",0.0645161290322581
"60",0
"61",0.129032258064516
"62",0.419354838709677
"63",0
"64",0
"65",0.32258064516129
"66",0.774193548387097
"67",0
"68",0
"69",0
"70",0
"71",0.806451612903226
"72",0
"73",0.903225806451613
"74",0
"75",0.193548387096774
"76",0.645161290322581
"77",0
"78",0.709677419354839
"79",0
"80",0
"81",0
"82",0.032258064516129
"83",0
"84",0
"85",0
"86",0.225806451612903
"87",0.0645161290322581
"88",0
"89",0
"90",0
"91",0
"92",0.67741935483871
"93",0
"94",0
"95",0
"96",0.806451612903226
"97",0.129032258064516
"98",0
"99",0
"100",0
