"","x"
"1",1
"2",0
"3",0.161290322580645
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1
"10",0.645161290322581
"11",0.580645161290323
"12",0.870967741935484
"13",0
"14",0
"15",0.032258064516129
"16",0
"17",0.258064516129032
"18",0.258064516129032
"19",0
"20",0
"21",0
"22",0.935483870967742
"23",0.645161290322581
"24",0.838709677419355
"25",0
"26",0
"27",0
"28",0.032258064516129
"29",0.967741935483871
"30",0.419354838709677
"31",0.032258064516129
"32",0.193548387096774
"33",0
"34",0
"35",1
"36",0
"37",0.935483870967742
"38",0.032258064516129
"39",0
"40",0.290322580645161
"41",0.32258064516129
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0.032258064516129
"48",0
"49",0
"50",0.0967741935483871
"51",0.483870967741935
"52",0.774193548387097
"53",0.741935483870968
"54",0
"55",0
"56",0.806451612903226
"57",0
"58",0
"59",0
"60",0
"61",0.67741935483871
"62",0.806451612903226
"63",0
"64",0
"65",0
"66",1
"67",0
"68",0
"69",0
"70",0
"71",0.967741935483871
"72",0
"73",0.903225806451613
"74",0
"75",0.709677419354839
"76",0.580645161290323
"77",0
"78",0.870967741935484
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.612903225806452
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.451612903225806
"93",0
"94",0
"95",0
"96",0.67741935483871
"97",0.838709677419355
"98",0
"99",0
"100",0
