"","x"
"1",0.935483870967742
"2",0
"3",0.806451612903226
"4",0
"5",0
"6",0
"7",0
"8",0.129032258064516
"9",0.645161290322581
"10",1
"11",0.451612903225806
"12",0.774193548387097
"13",0
"14",0
"15",0
"16",0
"17",0.387096774193548
"18",0
"19",0
"20",0
"21",0
"22",0.903225806451613
"23",0.548387096774194
"24",0.451612903225806
"25",0
"26",0
"27",0
"28",0
"29",0.67741935483871
"30",1
"31",0
"32",0.838709677419355
"33",0
"34",0
"35",0.903225806451613
"36",0.032258064516129
"37",1
"38",0
"39",0
"40",0.903225806451613
"41",0.032258064516129
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.967741935483871
"54",0.225806451612903
"55",0
"56",0.419354838709677
"57",0
"58",0
"59",0
"60",0.0645161290322581
"61",0.032258064516129
"62",0
"63",0.0645161290322581
"64",0
"65",0
"66",0.838709677419355
"67",0
"68",0
"69",0
"70",0
"71",0.354838709677419
"72",0
"73",0.129032258064516
"74",0
"75",0
"76",0
"77",0
"78",0.967741935483871
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.870967741935484
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.580645161290323
"93",0
"94",0.032258064516129
"95",0
"96",1
"97",0.903225806451613
"98",0
"99",0
"100",0
