"","x"
"1",0
"2",0.290322580645161
"3",0
"4",0.580645161290323
"5",0
"6",0.129032258064516
"7",0
"8",0
"9",0.032258064516129
"10",0
"11",0.161290322580645
"12",0.0967741935483871
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0.032258064516129
"19",0
"20",0
"21",0
"22",0.0645161290322581
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0.709677419354839
"30",0.0645161290322581
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0.129032258064516
"37",0.129032258064516
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0.032258064516129
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0.548387096774194
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0.032258064516129
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0.516129032258065
"74",0
"75",0
"76",0
"77",0
"78",0.193548387096774
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.419354838709677
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0.0645161290322581
"95",0
"96",0
"97",0.032258064516129
"98",0
"99",0
"100",0
