"","x"
"1",0.903225806451613
"2",0
"3",0.032258064516129
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.903225806451613
"10",0
"11",0.580645161290323
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0.838709677419355
"18",0
"19",0
"20",0
"21",0
"22",0.129032258064516
"23",0.580645161290323
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0.483870967741935
"30",0.129032258064516
"31",0.32258064516129
"32",0.419354838709677
"33",0
"34",0.0645161290322581
"35",0.0645161290322581
"36",0
"37",0.161290322580645
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.419354838709677
"54",0
"55",0
"56",0.032258064516129
"57",0.032258064516129
"58",0
"59",0
"60",0
"61",0.032258064516129
"62",0
"63",0
"64",0
"65",0.032258064516129
"66",0.129032258064516
"67",0
"68",0
"69",0
"70",0
"71",0.032258064516129
"72",0
"73",0.0967741935483871
"74",0
"75",0
"76",0
"77",0
"78",0.451612903225806
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.258064516129032
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.161290322580645
"93",0
"94",0
"95",0
"96",0.870967741935484
"97",0.387096774193548
"98",0
"99",0
"100",0
