"","x"
"1",0.548387096774194
"2",0
"3",0.580645161290323
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.741935483870968
"10",1
"11",0.870967741935484
"12",0.838709677419355
"13",0
"14",0
"15",0.032258064516129
"16",0
"17",0.806451612903226
"18",0
"19",0
"20",0
"21",0
"22",0.903225806451613
"23",0.290322580645161
"24",0.451612903225806
"25",0
"26",0
"27",0
"28",0
"29",0.967741935483871
"30",1
"31",0
"32",0.967741935483871
"33",0
"34",0
"35",1
"36",0
"37",0.935483870967742
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0.032258064516129
"50",0
"51",0
"52",0
"53",0.483870967741935
"54",0
"55",0
"56",0.870967741935484
"57",0
"58",0
"59",0
"60",0.0967741935483871
"61",0.483870967741935
"62",0.903225806451613
"63",0
"64",0
"65",0.129032258064516
"66",0.967741935483871
"67",0
"68",0
"69",0
"70",0.32258064516129
"71",0.806451612903226
"72",0
"73",0.870967741935484
"74",0
"75",0.548387096774194
"76",0.838709677419355
"77",0
"78",0.935483870967742
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.774193548387097
"93",0
"94",0.032258064516129
"95",0
"96",1
"97",1
"98",0
"99",0
"100",0
