"","x"
"1",0.612903225806452
"2",0
"3",0.967741935483871
"4",0
"5",0
"6",0.032258064516129
"7",0.193548387096774
"8",0.0967741935483871
"9",0.774193548387097
"10",0.645161290322581
"11",0.935483870967742
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0.483870967741935
"18",0
"19",0
"20",0
"21",0
"22",0.967741935483871
"23",0.838709677419355
"24",0.903225806451613
"25",0
"26",0
"27",0.032258064516129
"28",0
"29",0.903225806451613
"30",0.838709677419355
"31",0
"32",1
"33",0
"34",0
"35",0.935483870967742
"36",0
"37",0.838709677419355
"38",0
"39",0
"40",0.709677419354839
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.967741935483871
"54",0
"55",0.032258064516129
"56",0.32258064516129
"57",0
"58",0
"59",0
"60",0
"61",1
"62",0.903225806451613
"63",0
"64",0
"65",0
"66",0.67741935483871
"67",0
"68",0
"69",0
"70",0
"71",0.483870967741935
"72",0
"73",0.709677419354839
"74",0
"75",0.903225806451613
"76",0.774193548387097
"77",0.645161290322581
"78",0.129032258064516
"79",0
"80",0
"81",0.032258064516129
"82",0
"83",0
"84",0
"85",0
"86",0.935483870967742
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.838709677419355
"93",0
"94",0
"95",0
"96",0.903225806451613
"97",0.935483870967742
"98",0
"99",0
"100",0
