"","x"
"1",1
"2",0
"3",0.483870967741935
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1
"10",0.032258064516129
"11",0.935483870967742
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0.225806451612903
"18",0
"19",0
"20",0
"21",0
"22",0.129032258064516
"23",0.612903225806452
"24",0.741935483870968
"25",0
"26",0
"27",0.290322580645161
"28",0.032258064516129
"29",0.193548387096774
"30",0.903225806451613
"31",0.032258064516129
"32",0.806451612903226
"33",0
"34",0
"35",1
"36",0.0645161290322581
"37",0
"38",0
"39",0
"40",0.967741935483871
"41",0
"42",0
"43",0
"44",0.161290322580645
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0.0645161290322581
"52",0
"53",0.935483870967742
"54",0
"55",0
"56",0.709677419354839
"57",0
"58",0
"59",0
"60",0
"61",0.451612903225806
"62",0.709677419354839
"63",0.129032258064516
"64",0
"65",0
"66",1
"67",0.032258064516129
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0.354838709677419
"74",0
"75",0.967741935483871
"76",1
"77",0.032258064516129
"78",0.580645161290323
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1
"87",0
"88",0.0645161290322581
"89",0
"90",0.032258064516129
"91",0
"92",0.870967741935484
"93",0
"94",0
"95",0
"96",0.870967741935484
"97",0.774193548387097
"98",0
"99",0
"100",0
