"","x"
"1",0.903225806451613
"2",0
"3",0.967741935483871
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1
"10",0.903225806451613
"11",0.419354838709677
"12",0.741935483870968
"13",0
"14",0
"15",0
"16",0
"17",0.903225806451613
"18",0
"19",0
"20",0
"21",0
"22",1
"23",0.774193548387097
"24",1
"25",0
"26",0
"27",0
"28",0
"29",0.870967741935484
"30",0.741935483870968
"31",0.129032258064516
"32",0.967741935483871
"33",0
"34",0
"35",0.709677419354839
"36",0
"37",0.903225806451613
"38",0
"39",0.580645161290323
"40",0.580645161290323
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",1
"54",0
"55",0
"56",1
"57",0
"58",0
"59",0
"60",0
"61",1
"62",0.967741935483871
"63",0
"64",0
"65",0.290322580645161
"66",0.548387096774194
"67",0
"68",0
"69",0
"70",0
"71",0.935483870967742
"72",0
"73",0.387096774193548
"74",0.774193548387097
"75",0.548387096774194
"76",0.387096774193548
"77",0.612903225806452
"78",0.935483870967742
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.967741935483871
"87",0
"88",0
"89",0
"90",0
"91",0.161290322580645
"92",0.774193548387097
"93",0
"94",0
"95",0
"96",0.870967741935484
"97",0.967741935483871
"98",0
"99",0
"100",0
