"","x"
"1",0.870967741935484
"2",0
"3",0.935483870967742
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.935483870967742
"10",0.967741935483871
"11",0.838709677419355
"12",0.67741935483871
"13",0
"14",0
"15",0
"16",0
"17",0.903225806451613
"18",0
"19",0
"20",0
"21",0
"22",0.967741935483871
"23",1
"24",1
"25",0
"26",0
"27",0
"28",0
"29",1
"30",0.903225806451613
"31",0.0645161290322581
"32",0.967741935483871
"33",0
"34",0
"35",0.774193548387097
"36",0.419354838709677
"37",0.709677419354839
"38",0
"39",0
"40",0.870967741935484
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0.161290322580645
"53",0.935483870967742
"54",0
"55",0
"56",0.935483870967742
"57",0
"58",0
"59",0
"60",0
"61",0.870967741935484
"62",0.967741935483871
"63",0
"64",0.0967741935483871
"65",0
"66",1
"67",0
"68",0
"69",0
"70",0
"71",1
"72",0
"73",0.903225806451613
"74",0.129032258064516
"75",1
"76",0.967741935483871
"77",0
"78",1
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0.0645161290322581
"85",0
"86",0.967741935483871
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.967741935483871
"93",0
"94",0
"95",0.0967741935483871
"96",1
"97",0.967741935483871
"98",0
"99",0
"100",0
