"","x"
"1",0.741935483870968
"2",0
"3",0.903225806451613
"4",0.032258064516129
"5",0
"6",0
"7",0
"8",0.0967741935483871
"9",1
"10",0.838709677419355
"11",0.870967741935484
"12",0.838709677419355
"13",0
"14",0
"15",0
"16",0
"17",0.645161290322581
"18",0
"19",0
"20",0
"21",0
"22",0.806451612903226
"23",0.838709677419355
"24",0.612903225806452
"25",0
"26",0
"27",0
"28",0
"29",0.903225806451613
"30",1
"31",0
"32",0.935483870967742
"33",0
"34",0
"35",0.741935483870968
"36",0.129032258064516
"37",0.258064516129032
"38",0
"39",0
"40",0.967741935483871
"41",0
"42",0
"43",0
"44",0.290322580645161
"45",0
"46",0
"47",0
"48",0.0645161290322581
"49",0
"50",0
"51",0
"52",0
"53",0.967741935483871
"54",0
"55",0
"56",0.354838709677419
"57",0.0967741935483871
"58",0.032258064516129
"59",0
"60",0
"61",1
"62",0.935483870967742
"63",0
"64",0.548387096774194
"65",0.870967741935484
"66",0.580645161290323
"67",0
"68",0
"69",0
"70",0.0645161290322581
"71",0.548387096774194
"72",0
"73",0.967741935483871
"74",0
"75",1
"76",1
"77",0
"78",0.806451612903226
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.612903225806452
"93",0
"94",0
"95",0
"96",0.67741935483871
"97",1
"98",0
"99",0
"100",0.032258064516129
