"","x"
"1",0
"2",0.0645161290322581
"3",0.290322580645161
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0.032258064516129
"10",0.741935483870968
"11",0.612903225806452
"12",0.354838709677419
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0.032258064516129
"21",0
"22",0.0645161290322581
"23",0.129032258064516
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0.290322580645161
"30",0.451612903225806
"31",0
"32",0.870967741935484
"33",0
"34",0
"35",0.032258064516129
"36",0.225806451612903
"37",0.67741935483871
"38",0
"39",0
"40",0.548387096774194
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0.354838709677419
"53",0
"54",0.0645161290322581
"55",0
"56",0.032258064516129
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0.0645161290322581
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0.354838709677419
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.741935483870968
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.806451612903226
"93",0.0967741935483871
"94",0
"95",0.419354838709677
"96",0
"97",0.193548387096774
"98",0
"99",0
"100",0
